 ; ; ; ; ; 
"Поз.";"Обозначение";"Наименование";"Кол.";"Масса ед., кг";"Приме- чание"
 ; ;"Ростверк РСм1"; ; ; 
 ; ;"Сборочные единицы"; ; ; 
"КР1";"22005/2-1-КЖ.И-КР1";"Каркас КР1";"18";"20,72"; 
 ; ; ; ; ; 
 ; ;"Изделия закладные"; ; ; 
"МН4";"22005/2-1-КЖ.И-МН4";"Изделие закладное МН4";"4";"34,54"; 
"МН5";" 1.400-15, вып.1";"МН 156-4";"6";"15,70"; 
 ; ; ; ; ; 
 ; ;"Детали"; ; ; 
"12-950"; ;"12 S500 СТБ 1704-2012, L=950";"40";"0,84"; 
"12-1150"; ;"12 S500 СТБ 1704-2012, L=1150";"60";"1,02"; 
"12-1950"; ;"12 S500 СТБ 1704-2012, L=1950";"20";"1,73"; 
"12-2050"; ;"12 S500 СТБ 1704-2012, L=2050";"78";"1,82"; 
"12-4800"; ;"12 S500 СТБ 1704-2012, L=4800";"48";"4,26"; 
"12-5900"; ;"12 S500 СТБ 1704-2012, L=5900";"98";"5,24"; 
"12-9750"; ;"12 S500 СТБ 1704-2012, L=9750";"60";"8,66"; 
 ; ; ; ; ; 
"Д1*"; ;"6 S240 СТБ 1704-2012, L=675";"36";"0,15"; 
"Д2*"; ;"6 S240 СТБ 1704-2012, L=1280";"6";"0,28"; 
"1"; ;"Болт 1.1М24x800 Ст3кп2 ГОСТ 24379.1-2012";"16";"3,42"; 
 ; ; ; ; ; 
 ; ;"Материалы"; ; ; ;
 ; ;" Бетон класса С20/25, W4, F100"; ; ;"52,89м3/"
 ; ;"на сульфатостойком цементе"; ; ; 
 ; ;" Бетон класса С8/10 (подготовка)"; ; ;"6,15м3/"
